Word;PoS;Category;NOUN;VERB;Numbers;PRON;ADV;ADJ
балет;NOUN;;баскетболист;выть;;твоё;дважды;древний
балкон;NOUN;House;бассейн;выучивать;;твои;дёшево;другой
баловать;VERB;;бегемот;выходить;;твой;дико;дружелюбный
банан;NOUN;Fruits;бедность;вычерпать;;твоя;днём;духовный
Бангкок;NOUN;;бедро;выяснить;;те;довольно;европейский
банк;NOUN;;безопасность;выяснять;;то;долго;единственный
банка;NOUN;;безработица;гасить;;тот;должно;естественный
банкир;NOUN;Occupation;Беларусь;гибнуть;;ты;дома;жаждущий
банкомат;NOUN;;белка;гладить;;чей;домой;жаркий
барабан;NOUN;;белок;глушить;;что;дополнительно;жёлтый
баран;NOUN;Animals;Бельгия;говорить;;чьи;дорого;женатый
бармен;NOUN;Occupation;бельэтаж;голодать;;чья;дословно;женский
Барселона;NOUN;;бензин;голосовать;;эта;достаточно;жёсткий
барсук;NOUN;Animals;берег;гордиться;;эти;дружно;жестокий
баскетбол;NOUN;Sport;Берлин;гореть;;это;душно;жизнерадостный
баскетболист;NOUN;Sport;беспокойство;господствовать;;этот;едва;жилищный
баскский;ADJ;;бессонница;готовить;;я;ежегодно;забитый
бассейн;NOUN;Sport;библиотека;грести;;;ежедневно;заботливый
бегать;VERB;;бизнесмен;греться;;;ежемесячно;зависимый
бегемот;NOUN;Animals;билет;грозить;;;естественно;задний
бегом;ADV;;бильярд;гулять;;;ещё;законодательный
бедно;ADV;;биржа;давать;;;жадно;замечательный
бедность;NOUN;;битва;дарить;;;жалко;замкнутый
бедный;ADJ;;благополучие;дать;;;жалобно;занятый
бедро;NOUN;;благосостояние;двигать;;;жаль;запущенный
бежать;VERB;;бланк;двигаться;;;жарко;зарубежный
бездельничать;VERB;;близнец;деградировать;;;жутко;застенчивый
бездомный;ADJ;;блины;дежурить;;;забавно;захватывающий
безопасность;NOUN;;блокнот;действовать;;;завтра;здоровый
безопасный;ADJ;;блузка;делать;;;загадочно;зелёный
безработица;NOUN;;блюдо;делить;;;закрыто;земной
безработный;ADJ;;бобёр;делиться;;;заметно;зимний
безразличный;ADJ;;богач;держать;;;замечательно;злой
безусловно;ADV;;богослужение;держаться;;;замуж;знакомый
Беларусь;NOUN;Countries;бок;длиться;;;замужем;знаменитый
белка;NOUN;Animals;бокс;добавить;;;заодно;золотой
белок;NOUN;;Болгария;добавлять;;;запрещено;зубной
белорусский;ADJ;;боль;добиваться;;;заранее;идеальный
белый;ADJ;Color;больница;добиться;;;затем;избирательный
Бельгия;NOUN;Countries;большинство;доверять;;;зачем;известный
бельэтаж;NOUN;;борода;догадаться;;;звонко;именинный
бензин;NOUN;;борт;догадываться;;;здесь;индийский
берег;NOUN;;борщ;догнать;;;здорово;инициативный
беречь;VERB;;борьба;договариваться;;;зимой;инновационный
Берлин;NOUN;;ботаник;договориться;;;злобно;иностранный
беспокоить;VERB;;ботинки;догонять;;;зря;интеллигентный
беспокоиться;VERB;;боулинг;додуматься;;;идеально;интересный
беспокойство;NOUN;;бразилец;додумываться;;;известно;искусственный
бессонница;NOUN;;Бразилия;доехать;;;издалека;испанский
библиотека;NOUN;House;бразильянка;дойти;;;изнутри;исполнительный
бизнесмен;NOUN;Occupation;брат;долженствовать;;;иначе;испуганный
билет;NOUN;;британец;допускать;;;иногда;испытательный
бильярд;NOUN;;британка;допустить;;;интересно;исследовательский
биологический;ADJ;;бритва;дорожать;;;итого;исторический
биржа;NOUN;;бровь;доставать;;;кардинально;итальянский
битва;NOUN;;брокколи;достигать;;;качественно;иудейский
бить;VERB;;бронхит;дотрагиваться;;;когда;калорийный
благодарить;VERB;;брюки;дружить;;;конечно;каменный
благодарно;ADV;;будущее;думать;;;коротко;карамельный
благодарный;ADJ;;буква;ездить;;;красиво;карий
благополучие;NOUN;;бульвар;есть;;;крепко;каталонский
благополучно;ADV;;бумага;ехать;;;кругом;каштановый
благополучный;ADJ;;бутерброд;жалеть;;;кругом;квалифицированный
благосостояние;NOUN;;бутылка;жаловаться;;;круто;китайский
благотоворительный;ADJ;;бухгалтер;ждать;;;кстати;книжный
бланк;NOUN;;быт;желать;;;куда;кожаный
блестящий;ADJ;;бюро;жениться;;;ладно;коммунальный
близкий;ADJ;;ваза;жечь;;;легко;конкурирующий
близко;ADV;;вакансия;жить;;;лёжа;коренной
близнец;NOUN;;валюта;забирать;;;лениво;коричневый
блины;NOUN;;ваниль;забираться;;;летом;короткий
блокнот;NOUN;;ванна;заболеть;;;лично;краеведческий
блузка;NOUN;Clothing;ванная;заботиться;;;ловко;красивый
блюдо;NOUN;;варежки;забрать;;;логично;красный
бобёр;NOUN;Animals;Вашингтон;забыть;;;лучше;краткий
богато;ADV;;введение;завидовать;;;любопытно;кредитный
богатый;ADJ;;вдова;зависеть;;;мало;крепкий
богач;NOUN;;вдовец;завладеть;;;материально;криминальный
богослужение;NOUN;;вдохновение;заводиться;;;мгновенно;кровяной
бодро;ADV;;век;завоёвывать;;;медленно;круглый
бодрый;ADJ;;Великобритания;завтракать;;;мелко;крутой
бок;NOUN;;велосипед;завязать;;;менее;кудрявый
бокс;NOUN;Sport;Вена;завязаться;;;мило;латиноамериканский
Болгария;NOUN;Countries;Венгрия;загорать;;;мимо;левый
более;ADV;;верблюд;задавать;;;мирно;лёгкий
болеть;VERB;;версия;задержать;;;много;ленивый
болтать;VERB;;вертолёт;задерживать;;;молча;летающий
боль;NOUN;;верующий;задирать;;;мягко;летний
больница;NOUN;;верх;задрожать;;;наверх;либеральный
больно;ADV;;вес;задуматься;;;наверху;лишний
больной;ADJ;;веселье;задумываться;;;навсегда;лучший
больше;ADV;;весло;заказать;;;навстречу;лысый
большинство;NOUN;;весна;заказывать;;;надвое;льготный
большой;ADJ;;ветвь;закаляться;;;надежно;любезный
борода;NOUN;;ветер;заключать;;;надолго;любимый
бородатый;ADJ;;ветеринар;заключить;;;назад;маленький
бороться;VERB;;вечер;закончить;;;наизусть;маршрутный
борт;NOUN;;вечеринка;закричать;;;наконец;материальный
борщ;NOUN;;вешалка;закрывать;;;налево;мгновенный
борьба;NOUN;Sport;вещь;закрыть;;;намного;медленный
босиком;ADV;;взаимодействие;закрыться;;;наоборот;международный
ботаник;NOUN;Occupation;взаимопонимание;замедлять;;;наполовину;местный
ботинки;NOUN;Clothing;взгляд;заметить;;;направо;миролюбивый
боулинг;NOUN;Sport;взрыв;замечать;;;напрокат;младший
бояться;VERB;;взятка;замолкать;;;напротив;мобильный
бразилец;NOUN;Nationality;вид;занимать;;;наравне;могущественный
Бразилия;NOUN;Countries;видео;заниматься;;;нарочно;мокрый
бразильянка;NOUN;Nationality;виза;занять;;;наружу;молодой
брат;NOUN;Family;визитка;заплатить;;;наряду;мужской
брать;VERB;;викторина;заполнить;;;насколько;музыкальный
британец;NOUN;Nationality;вилка;заполнять;;;настолько;мягкий
британка;NOUN;Nationality;вино;заполучить;;;неважно;намеренный
британский;ADJ;;виноград;запоминать;;;неверно;напуганный
бритва;NOUN;;вирус;запомнить;;;невероятно;народный
бриться;VERB;;виски;запрещать;;;невозможно;населённый
бровь;NOUN;;витрина;запутаться;;;негде;настойчивый
бродить;VERB;;вишня;зарабатывать;;;негромко;настоящий
брокколи;NOUN;Vegetables;вкус;заражать;;;недавно;научный
бронхит;NOUN;;владелец;заряжать;;;недалеко;начальный
бросить;VERB;;власть;заслуживать;;;недоверчиво;неблагоприятный
брюки;NOUN;Clothing;вложение;заслужить;;;недолго;невысокий
буддийский;ADJ;;внедрение;засмеяться;;;недорого;негативный
будущее;NOUN;;внешность;заснуть;;;неизвестно;неграмотный
буква;NOUN;;внимание;заснять;;;некуда;недавний
бульвар;NOUN;;внук;заставить;;;неловко;недобрый
бумага;NOUN;;внучка;заставлять;;;нельзя;недружелюбный
бутерброд;NOUN;;вода;засыпать;;;немного;незабываемый
бутылка;NOUN;;водитель;затапливать;;;неплохо;независимый
бухгалтер;NOUN;Occupation;водка;затрудняться;;;непонятно;незаметный
бывать;VERB;;водопад;захватывать;;;неправильно;незнакомый
быстро;ADV;;водопровод;захотеть;;;несколько;неизбежный
быстрый;ADJ;;водоснабжение;защищать;;;неужели;некрасивый
быт;NOUN;;вождь;заявить;;;ниже;немецкий
быть;VERB;;возбуждение;заявлять;;;низко;необходимый
бюро;NOUN;;воздействие;звать;;;никогда;необычный
важно;ADV;;воздух;зваться;;;никуда;неопрятный
важный;ADJ;;возможность;звонить;;;нормально;неотделимый
ваза;NOUN;;возраст;здороваться;;;обидно;непонятный
вакансия;NOUN;;воин;здравствовать;;;облачно;неправильный
валюта;NOUN;;война;злоупотреблять;;;обратно;непрочный
ваниль;NOUN;;вокзал;знакомиться;;;обычно;нервный
ванильный;ADJ;;волейбол;знать;;;обязательно;несчастный
ванна;NOUN;House;волк;значить;;;однажды;низкий
ванная;NOUN;House;волна;играть;;;опасно;нищий
варежки;NOUN;Clothing;волосы;идти;;;опять;новый
ваш;PRON;;воля;избавить;;;осенью;ночной
ваша;PRON;;вопрос;избавлять;;;особенно;нравственный
ваше;PRON;;вор;избегать;;;осторожно;нужный
ваши;PRON;;ворота;избежать;;;отдельно;нынешний
Вашингтон;NOUN;;воскресенье;избивать;;;откровенно;обеспеченный
вблизи;ADV;;воспитание;избить;;;открыто;обидный
вбок;ADV;;воспоминание;избрать;;;отлично;областной
введение;NOUN;;восстание;извинять;;;очень;обозначенный
вверх;ADV;;восток;извлекать;;;печально;образованный
вглубь;ADV;;востребование;извлечь;;;пешком;образовательный
вдалеке;ADV;;впечатление;изменить;;;плохо;общественный
вдаль;ADV;;враг;измениться;;;повсюду;обязательный
вдвоем;ADV;;вражда;изменять;;;подозрительно;ограниченный
вдвойне;ADV;;врач;изображать;;;подряд;огромный
вдова;NOUN;Family;время;изобразить;;;позавчера;одетый
вдовец;NOUN;Family;времяпрепровождение;изучать;;;позади;одинаковый
вдоль;ADV;;встреча;иметь;;;поздно;однозначный
вдохновение;NOUN;;вторник;интересоваться;;;пока;оживлённый
вдруг;ADV;;вуз;интресовать;;;полезно;озабоченный
вежливо;ADV;;вход;искать;;;полно;окружающий
вежливый;ADJ;;въезд;исключать;;;полноценно;опасный
везде;ADV;;выбор;исключить;;;помимо;оперный
век;NOUN;;вывод;искоренить;;;понятно;опрошенный
великий;ADJ;;выдача;искоренять;;;поровну;оранжевый
Великобритания;NOUN;Countries;выезд;искупать;;;посередине;основной
велосипед;NOUN;Transport;выключатель;искупаться;;;после;особенный
Вена;NOUN;;выплата;исповедовать;;;послезавтра;особый
Венгрия;NOUN;Countries;вырубка;исполниться;;;постоянно;осторожный
венчаться;VERB;;выставка;использовать;;;потом;осуждённый
верблюд;NOUN;Animals;высылка;испортить;;;похоже;ответственный
верить;VERB;;выход;исправить;;;почему;отечественный
верно;ADV;;выходной;исправлять;;;почти;отзывчивый
вернуть;VERB;;вышивка;испугать;;;поэтому;открытый
вернуться;VERB;;вязяние;испугаться;;;правильно;отличный
вероятно;ADV;;газ;испытать;;;прекрасно;очевидный
версия;NOUN;;газета;испытывать;;;престижно;очередной
вертолёт;NOUN;Transport;газировка;исследовать;;;приятно;парниковый
верующий;NOUN, ADJ;;галстук;исходить;;;просто;пассивный
верх;NOUN;;гараж;исчезать;;;противно;переводческий
вес;NOUN;;гардероб;исчезнуть;;;прохладно;пешеходный
весело;ADV;;гастрит;кататься;;;прямо;плохой
веселый;ADJ;;гель;кивать;;;пусто;повседневный
веселье;NOUN;;география;кивнуть;;;равно;повсеместный
весло;NOUN;;геолог;класть;;;радостно;поделённый
весна;NOUN;;Германия;класть;;;рано;подобный
весной;ADV;;герой;колебаться;;;раньше;подчинённый
вести;VERB;;гибель;контролировать;;;редко;пожизненный
весь;PRON;;гид;кончать;;;рядом;пожилой
ветвь;NOUN;;гимнаст;кончаться;;;сбоку;поздний
ветер;NOUN;;гимнастика;кончить;;;сверху;покинутый
ветеринар;NOUN;Occupation;гимнастка;кончиться;;;светло;покрытый
ветренно;ADV;;гитара;копить;;;свободно;покупательский
ветреный;ADJ;;глаз;кормить;;;сегодня;полититический
вечер;NOUN;;глина;крестить;;;сейчас;полицейский
вечеринка;NOUN;;глушь;крикнуть;;;сердито;полный
вечером;ADV;;гнездо;критиковать;;;серьезно;пологий
вечный;ADJ;;год;кричать;;;сзади;полосатый
вешалка;NOUN;;гол;купать;;;сильно;полуразрушенный
вещь;NOUN;;голландец;купаться;;;сколько;польский
взаимодействие;NOUN;;голландка;купить;;;скорее;понятный
взаимопонимание;NOUN;;голова;курить;;;скоро;популярный
взгляд;NOUN;;головоломка;кушать;;;скромно;португальский
взглянуть;VERB;;гольф;лгать;;;скучно;порядочный
вздохнуть;VERB;;гольфы;лежать;;;слабо;посвящённый
взлетать;VERB;;гонка;лениться;;;сладко;последний
взрослеть;VERB;;гора;летать;;;слева;последующий
взрослый;ADJ;;горилла;лететь;;;слишком;посторонний
взрыв;NOUN;;горло;лишать;;;сложно;построенный
взятка;NOUN;;город;ловить;;;случайно;потемневший
взять;VERB;;горожанин;ломать;;;слышно;потерпевший
вид;NOUN;;горожанка;любить;;;смело;потребительский
видео;NOUN;;горох;махать;;;смешно;потрясённый
видеть;VERB;;господин;менять;;;снаружи;потухший
видеться;VERB;;госпожа;меняться;;;сначала;почасовой
видно;ADV;;гостиница;мечтать;;;снизу;правильный
виза;NOUN;;гостинная;мешать;;;снова;правоохранительный
визитка;NOUN;;гость;мигать;;;совсем;православный
викторина;NOUN;;гостья;молиться;;;солнечно;правый
вилка;NOUN;;государство;молчать;;;соответственно;предполётный
вино;NOUN;;грабёж;мочь;;;сперва;прекрасный
виноград;NOUN;Fruits;гравюра;мыть;;;спереди;престижный
вирус;NOUN;;градус;набирать;;;специально;прибыльный
висеть;VERB;;гражданин;наблюдать;;;спокойно;приветливый
виски;NOUN;;гражданка;наблюдаться;;;справа;привлекательный
витрина;NOUN;;гражданство;набрать;;;спустя;природный
вишня;NOUN;Fruits;грамм;надевать;;;сразу;приятный
вкладывать;VERB;;гранат;наделать;;;среди;провинциальный
включать;VERB;;граф;надеть;;;средне;прожиточный
включаться;VERB;;график;надеяться;;;срочно;проклятый
включить;VERB;;графика;назвать;;;столько;промышленный
вкус;NOUN;;графин;назначить;;;стоя;пропавший
вкусно;ADV;;графиня;называть;;;странно;простой
вкусный;ADJ;;грейпфрут;найти;;;страшно;профессиональный
владелец;NOUN;;грек;наказать;;;стремительно;прохладный
власть;NOUN;;грех;наказывать;;;строго;прошедший
влево;ADV;;Греция;накопить;;;стыдно;прошлый
влиять;VERB;;гречанка;накормить;;;сухо;прямой
вложение;NOUN;;гриб;написать;;;счастливо;пушистый
вместе;ADV;;грипп;напоминать;;;сюда;пьяный
вместо;ADV;;гроссмейтер;напомнить;;;тайно;пятнистый
вмешиваться;VERB;;груз;направить;;;также;равнодушный
вначале;ADV;;Грузия;направиться;;;твёрдо;радостный
внедрение;NOUN;;грузовик;направлять;;;темно;разбитый
внешний;ADJ;;группа;направляться;;;теперь;разбойный
внешность;NOUN;;груша;нарисовать;;;тепло;развалившийся
вниз;ADV;;грязь;нарушать;;;тесно;разведенный
внизу;ADV;;губа;нарушить;;;тихо;развивающийся
внимание;NOUN;;губернатор;наряжаться;;;тогда;развитый
внимательно;ADV;;гудок;насладиться;;;тоже;разнообразный
вновь;ADV;;гусеница;наслаждаться;;;только;разносторонний
внук;NOUN;Family;гусь;насорить;;;тонко;разный
внутренний;ADJ;;Дания;настроить;;;точно;расположенный
внутри;ADV;;данные;настроиться;;;тревожно;расстроенный
внутрь;ADV;;дата;находиться;;;трижды;растительный
внучка;NOUN;Family;дверь;начать;;;трудно;регулярный
вовлекать;VERB;;двигатель;начинать;;;туда;редкий
вовремя;ADV;;движение;начинаться;;;тут;резкий
вода;NOUN;;двойственность;ненавидеть;;;тяжело;религиозный
водитель;NOUN;Occupation;двор;нервничать;;;удачно;родной
водительский;ADJ;;дворец;нести;;;удивительно;розовый
водить;VERB;;девочка;нормализоваться;;;удобно;российский
водка;NOUN;;девушка;носить;;;ужасно;руководящий
водопад;NOUN;;дедушка;нравиться;;;уже;русый
водопровод;NOUN;;действие;нуждаться;;;упрямо;рыжий
водоснабжение;NOUN;;декабрь;обвинить;;;усердно;рыночный
воевать;VERB;;декларация;обвинять;;;утром;самостоятельный
военнопленный;ADJ;;дельфин;обедать;;;уютно;светлый
вождь;NOUN;;день;обернуться;;;хитро;свободный
возбуждение;NOUN;;деньги;обеспечивать;;;холодно;связанный
возбужденный;ADJ;;депрессия;обеспечить;;;хорошо;седой
возвращать;VERB;;деревня;обидеться;;;хуже;сельский
возвращаться;VERB;;дерево;обижаться;;;целиком;семейный
возглавлять;VERB;;десерт;облениться;;;часто;серый
воздействие;NOUN;;десятка;обмануть;;;честно;сильный
воздух;NOUN;;дети;обманывать;;;чисто;симпатичный
возле;ADV;;детская;обнаруживать;;;чудесно;синий
возможно;ADV;;детство;обнаружить;;;широко;скоростной
возможность;NOUN;;деятельность;обнимать;;;шумно;слабый
возникать;VERB;;джаз;обобщать;;;щедро;славянский
возникнуть;VERB;;джем;обобщить;;;эффективно;сладкий
возобновляемый;ADJ;;джемпер;обойти;;;явно;следующий
возраст;NOUN;;джинсы;обострить;;;ярко;сложный
воин;NOUN;;джунгли;обострять;;;ясно;сломанный
война;NOUN;;дзюдо;обрабатывать;;;;служебный
войти;VERB;;диабет;обработать;;;;смертелый
вокзал;NOUN;;диалог;образовать;;;;смешной
вокруг;ADV;;диван;образовывать;;;;собственный
волейбол;NOUN;Sport;дизайн;обратить;;;;совместимый
волк;NOUN;Animals;дизайнер;обратиться;;;;современный
волна;NOUN;;динозавр;обращать;;;;согласный
волноваться;VERB;;дипломат;обращаться;;;;солёный
волосатый;ADJ;;директор;обсудить;;;;солнечный
волосы;NOUN;;дирижёр;обсуждать;;;;составляющий
волшебный;ADJ;;дискотека;обучить;;;;состоятельный
воля;NOUN;;диспетчер;общаться;;;;сотовый
вообще;ADV;;длина;объедаться;;;;социальный
вооруженный;ADJ;;дневник;объединяться;;;;спальный
вопрос;NOUN;;добро;объесться;;;;специальный
вопросительный;ADJ;;доброволец;объявить;;;;спокойный
вор;NOUN;;дождь;объявлять;;;;спортивный
воровать;VERB;;доза;объяснить;;;;справедливый
воровски;ADV;;доказательство;объяснять;;;;средний
ворота;NOUN;House;доктор;огласить;;;;старинный
восемнадцать;Number;;документ;оглашать;;;;старомодный
восемь;Number;;долг;оглядеться;;;;старший
восемьдесят;Number;;должность;оглядываться;;;;старый
восемьсот;Number;;доллар;ограбить;;;;страшный
восклицательный;ADJ;;доля;ограничивать;;;;судебный
воскресенье;NOUN;;дом;одеваться;;;;сумасшедший
воспитание;NOUN;;домохозяйка;одеться;;;;сухой
воспитанный;ADJ;;дорога;одобрить;;;;сценический
воспитывать;VERB;;доска;одобрять;;;;счастливый
воспользоваться;VERB;;доставка;оживить;;;;таинственный
воспоминание;NOUN;;достаток;оживлять;;;;тактичный
восстанавливаться;VERB;;достижение;означать;;;;талантливый
восстание;NOUN;;достоинство;оказать;;;;твердый
восток;NOUN;;достопримечательность;оказаться;;;;театральный
востребование;NOUN;;досуг;оказывать;;;;текущий
восьмой;Number;;доход;оказываться;;;;тёмный
впервые;ADV;;дочь;опаздывать;;;;теневой
вперед;ADV;;драка;опираться;;;;тёплый
впереди;ADV;;друг;опоздать;;;;терпеливый
впечатление;NOUN;;дружба;оправдать;;;;тихий
вполне;ADV;;Дублин;оправдывать;;;;толстый
вправо;ADV;;душ;определить;;;;тонкий
впустую;ADV;;душа;определять;;;;трудный
враг;NOUN;;дыня;опускать;;;;трудовой
вражда;NOUN;;дядя;опустеть;;;;трудолюбивый
враждебный;ADJ;;еврей;освободить;;;;тяжёлый
врач;NOUN;Occupation;еврейка;освобождать;;;;уверенный
временно;ADV;;Европа;осмотреть;;;;уголовный
время;NOUN;;Египет;основать;;;;удивительный
времяпрепровождение;NOUN;;египтянин;основывать;;;;удивлённый
врозь;ADV;;египтянка;оставаться;;;;ужасный
все;PRON;;еда;оставить;;;;узкий
всё;PRON;;единица;оставлять;;;;украинский
всегда;ADV;;ёж;останавливать;;;;уличный
всенародный;ADJ;;ёлка;останавливаться;;;;улучшенный
вслед;ADV;;енот;остановить;;;;умный
вслух;ADV;;жанр;остановиться;;;;университетский
вставать;VERB;;жаркое;остаться;;;;уникальный
встать;VERB;;желание;осуществить;;;;управленческий
встретить;VERB;;желудок;осуществлять;;;;уродливый
встретиться;VERB;;жена;отбивать;;;;успешный
встреча;NOUN;;жених;отбить;;;;усталый
встречать;VERB;;женщина;ответить;;;;учебный
встречаться;VERB;;жертва;отвечать;;;;учреждённый
вступать;VERB;;живопись;отвыкать;;;;физический
вступительный;ADJ;;живот;отвыкнуть;;;;филологический
вся;PRON;;животное;отдавать;;;;финский
всякая;PRON;;журнал;открывать;;;;целеустремлённый
всякие;PRON;;марка;родить;;;;
всякий;PRON;;мартышка;садиться;;;;
всякое;PRON;;пловец;;;;;
вторник;NOUN;;жизнь;отдать;;;;фиолетовый
второй;Number;;жилет;отдохнуть;;;;французский
